L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,10,1.7,32,32,1,1.0,0.21455385332567808,0.0,8.217632752076023,1
6,20,0.1,1.0,10,1.8,32,32,1,1.0,0.2192889510613539,0.0,8.278686811547582,1
6,20,0.1,1.0,10,1.9,32,32,1,1.0,0.22324697613850514,0.0,8.333093873664314,1
6,20,0.1,1.0,10,2.0,32,32,1,1.0,0.22772607010302814,0.0,8.37368590272996,1
6,20,0.1,1.0,11,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,9.665072904500061,1
6,20,0.1,1.0,11,0.1,32,32,1,1.0,1.020551231484465e-05,0.0,9.744380173989626,1
6,20,0.1,1.0,11,0.2,32,32,1,1.0,0.0001743092522163082,0.0,9.791200694747793,1
6,20,0.1,1.0,11,0.3,32,32,1,1.0,0.0009762477341946898,0.0,9.796708025996708,1
6,20,0.1,1.0,11,0.4,32,32,1,1.0,0.003203563894335621,0.0,9.750582145949085,1
6,20,0.1,1.0,11,0.5,32,32,1,1.0,0.0075307315499076434,0.0,9.64442902307699,1
6,20,0.1,1.0,11,0.6,32,32,1,1.0,0.01418969123567033,0.0,9.47468225161302,1
6,20,0.1,1.0,11,0.7,32,32,1,1.0,0.02338965348838785,0.0,9.244816971701836,1
6,20,0.1,1.0,11,0.8,32,32,1,1.0,0.03672327085548663,0.0,8.967022321725489,1
6,20,0.1,1.0,11,0.9,32,32,1,1.0,0.05876285303450002,0.0,8.662865584287474,1
6,20,0.1,1.0,11,1.0,32,32,1,1.0,0.09649719819510287,0.0,8.361667207022391,1
6,20,0.1,1.0,11,1.1,32,32,1,1.0,0.15489841294323306,0.0,8.095420473464968,1
6,20,0.1,1.0,11,1.2,32,32,1,1.0,0.23154908172545377,0.0,7.890768471683958,1
6,20,0.1,1.0,11,1.3,32,32,1,1.0,0.31553060227891166,0.0,7.761135434370812,1
6,20,0.1,1.0,11,1.4,32,32,1,1.0,0.3923489067090634,0.0,7.703336350279715,1
6,20,0.1,1.0,11,1.5,32,32,1,1.0,0.4510513131449813,0.0,7.70077678943318,2
6,20,0.1,1.0,11,1.6,32,32,1,1.0,0.4880595503432338,0.0,7.731052396574704,2
6,20,0.1,1.0,11,1.7,32,32,1,1.0,0.5062454155978335,0.0,7.773442631433257,2
6,20,0.1,1.0,11,1.8,32,32,1,1.0,0.5117080565684913,0.0,7.813156072953384,2
6,20,0.1,1.0,11,1.9,32,32,1,1.0,0.510756148411423,0.0,7.842006301455844,2
6,20,0.1,1.0,11,2.0,32,32,1,1.0,0.5079788632302146,0.0,7.856969340218515,2
6,20,0.1,1.0,12,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,9.809181452474448,1
6,20,0.1,1.0,12,0.1,32,32,1,1.0,1.0290186299196638e-05,0.0,9.823693007867897,1
6,20,0.1,1.0,12,0.2,32,32,1,1.0,0.00014907993168092456,0.0,9.81103360891073,1
6,20,0.1,1.0,12,0.3,32,32,1,1.0,0.0007292121118854059,0.0,9.766891285777568,1
6,20,0.1,1.0,12,0.4,32,32,1,1.0,0.002229994314559325,0.0,9.686227825228528,1
6,20,0.1,1.0,12,0.5,32,32,1,1.0,0.005179730512706014,0.0,9.5651489255391,1
6,20,0.1,1.0,12,0.6,32,32,1,1.0,0.010091369277722553,0.0,9.402610090193885,1
6,20,0.1,1.0,12,0.7,32,32,1,1.0,0.017645624172455913,0.0,9.201755159317171,1
6,20,0.1,1.0,12,0.8,32,32,1,1.0,0.029117826877089623,0.0,8.970750714072,1
6,20,0.1,1.0,12,0.9,32,32,1,1.0,0.04664564700907675,0.0,8.722800537964634,1
6,20,0.1,1.0,12,1.0,32,32,1,1.0,0.07263917398147554,0.0,8.474869228420742,1
6,20,0.1,1.0,12,1.1,32,32,1,1.0,0.10817857978666734,0.0,8.244888357838093,1
6,20,0.1,1.0,12,1.2,32,32,1,1.0,0.15149613144528418,0.0,8.047985082765733,1
6,20,0.1,1.0,12,1.3,32,32,1,1.0,0.19797361177412853,0.0,7.893167523293348,1
6,20,0.1,1.0,12,1.4,32,32,1,1.0,0.24192461486180897,0.0,7.7820955791475575,1
