L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,centered,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,6,0.4,32,32,1,1.0,0,0.0011001215097016708,0.0,17.633093151771412,32
6,20,0.1,1.0,6,0.45,32,32,1,1.0,0,0.0016852761650988318,0.0,17.50677603654662,32
6,20,0.1,1.0,6,0.5,32,32,1,1.0,0,0.0024424941748025343,0.0,17.358487756913412,32
6,20,0.1,1.0,6,0.55,32,32,1,1.0,0,0.003378699436169079,0.0,17.188720789768738,32
6,20,0.1,1.0,6,0.6000000000000001,32,32,1,1.0,0,0.004491596459314198,0.0,16.998759067448372,32
6,20,0.1,1.0,6,0.65,32,32,1,1.0,0,0.005771208019644245,0.0,16.79067771881969,32
6,20,0.1,1.0,6,0.7000000000000001,32,32,1,1.0,0,0.007203683225471845,0.0,16.567299431223066,32
6,20,0.1,1.0,6,0.75,32,32,1,1.0,0,0.008777372644962993,0.0,16.332108626324423,32
6,20,0.1,1.0,6,0.8,32,32,1,1.0,0,0.0104907055893134,0.0,16.089124687682155,32
6,20,0.1,1.0,6,0.8500000000000001,32,32,1,1.0,0,0.012360629602571524,0.0,15.842736251490567,32
6,20,0.1,1.0,6,0.9,32,32,1,1.0,0,0.014429202185632874,0.0,15.597500923300386,32
6,20,0.1,1.0,6,0.9500000000000001,32,32,1,1.0,0,0.016764667190683064,0.0,15.357919851888004,32
6,20,0.1,1.0,6,1.0,32,32,1,1.0,0,0.019453838702271988,0.0,15.128202071739029,32
6,20,0.1,1.0,6,1.05,32,32,1,1.0,0,0.022586696207186962,0.0,14.912038982143457,32
6,20,0.1,1.0,6,1.1,32,32,1,1.0,0,0.02623853283316856,0.0,14.712413098001512,32
6,20,0.1,1.0,6,1.1500000000000001,32,32,1,1.0,0,0.030454203639897422,0.0,14.531465231906832,32
6,20,0.1,1.0,6,1.2000000000000002,32,32,1,1.0,0,0.03523614533005083,0.0,14.370438621851134,32
6,20,0.1,1.0,6,1.25,32,32,1,1.0,0,0.04053746664713687,0.0,14.22970835263306,32
6,20,0.1,1.0,6,1.3,32,32,1,1.0,0,0.04626165308647464,0.0,14.108890496407595,32
6,20,0.1,1.0,6,1.35,32,32,1,1.0,0,0.052269402190088216,0.0,14.007012249784225,32
6,20,0.1,1.0,6,1.4000000000000001,32,32,1,1.0,0,0.058391654480157505,0.0,13.922714280550341,32
6,20,0.1,1.0,6,1.4500000000000002,32,32,1,1.0,0,0.06444661349113179,0.0,13.854451750640559,32
6,20,0.1,1.0,6,1.5,32,32,1,1.0,0,0.07025812424479223,0.0,13.80066492233525,32
6,20,0.1,1.0,6,1.55,32,32,1,1.0,0,0.07567271340970144,0.0,13.759896880891876,32
6,20,0.1,1.0,6,1.6,32,32,1,1.0,0,0.08057313638401227,0.0,13.730850083837453,32
6,20,0.1,1.0,6,1.6500000000000001,32,32,1,1.0,0,0.08488685696091096,0.0,13.712385617446007,32
6,20,0.1,1.0,6,1.7000000000000002,32,32,1,1.0,0,0.08858864860162893,0.0,13.703478671842921,32
6,20,0.1,1.0,6,1.75,32,32,1,1.0,0,0.09169733967984703,0.0,13.703151986347843,32
6,20,0.1,1.0,6,1.8,32,32,1,1.0,0,0.0942674916652674,0.0,13.710408258649288,32
6,20,0.1,1.0,6,1.85,32,32,1,1.0,0,0.09637757623341112,0.0,13.724181139966841,32
6,20,0.1,1.0,6,1.9000000000000001,32,32,1,1.0,0,0.0981166833799084,0.0,13.743315237836196,32
6,20,0.1,1.0,6,1.9500000000000002,32,32,1,1.0,0,0.09957187308927419,0.0,13.766579512629018,32
6,20,0.1,1.0,6,2.0,32,32,1,1.0,0,0.10081799751774705,0.0,13.792708953771147,32
